EMPLOYEE_ID|EMPLOYEE_NAME
000001|BERNADETTE KEARNEY
000002|ELOY MURRAY
000003|ABU ILYAS AL SURI
000004|ABU HAFS AL MASRI
000005|SAN SAN YI
000006|WEI WEI KHAING
000007|SAIF AL-'ADIL
000008|WAI WAI THA
000009|ALLAH DAD TABEEB
000010|SHAHATA THIRWAT
000011|BEN BELGACEM BEN ABDALLAH
000012|SHARAABI BEN AL-BECHIR
000013|LOUIS GOMES
000014|SABER
000015|BEN ATTIA BEN MOHAMED
000016|AL-JELASSI RIADH
000017|KAMMOUN MEHDI
000018|KISHK ABD EL LATIF
000019|ABOU ISMAIL EL JENDOUBI
000020|AL-WADHANI HABIB
000021|ABU ZEINAB
000022|RIDUAN
000023|RAHMAN
000024|MADELINE CROCKETT
000025|GULBUDIN HEKMETYAR
000026|MZOUDI
000027|ELIAS
000028|AL-AYARI CHIHEB
000029|AL-BAAZAOUI MONDHER
000030|ESSAADI MOUSSA
000031|FETTAR RACHID
000032|AL-HAMAMI BEN HEDHILI
000033|BEN HABIB BEN AL-TAHER
000034|SAID
000035|LYNETTE HAMMOND
000036|AL-WAZ NAJIB
000037|ABDALLAH
000038|YANDARBIEV ZELIMKHAN
000039|SULAEMAN
000040|ABDUL HIR ZULKIFLI
000041|MANAF KASMURI ABDUL
000042|HENRY
000043|FAIZ YUNSHAR
000044|WAN HALIM
000045|MOSE VILLALOBOS
000046|ZAKARIA ZAINI
000047|RADOVAN KARADZIC RADOVAN
000048|RATKO MLADIC RATKO
000049|GORAN HADZIC GORAN
000050|STOJAN ZUPLJANIN STOJAN
DUMMYEMPID|BIN MARWAN, BILAL
EMP-1-0106|HARRISON SCHMITT
EMP-10-0106|DARLA GAGNE
EMP-100-0106|MAMOUN DARKAZANLI
EMP-101-0106|SOBDI EL GOHARY ABU SINNA
EMP-102-0106|SAN SAN YEE
EMP-103-0106|WAI WAI KHAING
EMP-104-0106|SAYF AL-ADL
EMP-105-0106|WAI WAI THAR
EMP-106-0106|ALLAH DAD MUHAMMAD
EMP-107-0106|THARWAT SALAH SHIHATA ALI
EMP-108-0106|MOHAMED AL-AOUADI
EMP-109-0106|TAREK AL-CHARAABI
EMP-11-0106|JORDAN MCNEAL
EMP-110-0106|SAMI ELSSEID
EMP-111-0106|NABIL BEN ATTIA NABIL
EMP-112-0106|RIADH AL-JELASSI
